iter	MultiClass
0	1.090987859
1	1.084806723
2	1.07795571
3	1.071489631
4	1.065108972
5	1.059444754
6	1.053279762
7	1.048202022
8	1.043014002
9	1.037979298
10	1.03323495
11	1.028906223
12	1.024531825
13	1.020657562
14	1.018035767
15	1.015172549
16	1.011292902
17	1.007773062
18	1.004309554
19	1.001349553
20	0.9985518078
21	0.9954703062
22	0.9923257437
23	0.9892026715
24	0.9863215233
25	0.9829286125
26	0.9801525551
27	0.9778679518
28	0.9749714353
29	0.9726459585
30	0.9705625302
31	0.9687124934
32	0.9663793054
33	0.9645426617
34	0.9627485865
35	0.9602747829
36	0.9583465858
37	0.9562310429
38	0.9543230273
39	0.9521806915
40	0.9497214137
41	0.9482326411
42	0.9463226752
43	0.9446768899
44	0.9427001549
45	0.940462805
46	0.9391587774
47	0.9369137255
48	0.9351804513
49	0.9338018473
50	0.9317212358
51	0.9300242541
52	0.9277264914
53	0.9265542066
54	0.9257798794
55	0.9243065666
56	0.922186368
57	0.9206609109
58	0.9187626001
59	0.9175169905
60	0.915414318
61	0.9138034454
62	0.9123802073
63	0.9103174574
64	0.909004905
65	0.9082950532
66	0.9066349798
67	0.9054207977
68	0.904301043
69	0.9033341554
70	0.9024430931
71	0.9008482522
72	0.8998977038
73	0.8987323067
74	0.897774439
75	0.8966156388
76	0.8959567292
77	0.8951138694
78	0.894313199
79	0.892927599
80	0.8915659522
81	0.8903752076
82	0.8892283811
83	0.8881504222
84	0.8873246568
85	0.8859221432
86	0.8850619262
87	0.8838482472
88	0.8820959112
89	0.881288383
90	0.8800796779
91	0.8782480005
92	0.8775663995
93	0.8760137745
94	0.8750068947
95	0.8742662193
96	0.8733812519
97	0.8723453129
98	0.87151175
99	0.8701631403
100	0.8695560256
101	0.8685595785
102	0.8665414646
103	0.8652151685
104	0.8640851926
105	0.8629050714
106	0.8617819503
107	0.8610422969
108	0.8594214194
109	0.8585431661
110	0.8572777099
111	0.8564243809
112	0.8554411676
113	0.8544004745
114	0.8532643454
115	0.8526578517
116	0.8521165293
