iter	Passed	Remaining
0	61	30756
1	64	16087
2	66	11058
3	69	8579
4	71	7084
5	74	6108
6	76	5393
7	78	4848
8	81	4434
9	83	4094
10	85	3812
11	88	3579
12	90	3382
13	92	3213
14	94	3067
15	97	2948
16	99	2837
17	102	2735
18	104	2643
19	106	2562
20	109	2490
21	111	2423
22	113	2361
23	116	2304
24	118	2254
25	120	2205
26	123	2158
27	125	2112
28	127	2075
29	130	2037
30	132	1998
31	134	1964
32	136	1936
33	139	1907
34	141	1881
35	143	1854
36	146	1829
37	148	1804
38	150	1784
39	153	1763
40	155	1742
41	157	1720
42	160	1701
43	162	1682
44	164	1663
45	166	1646
46	169	1631
47	171	1612
48	173	1595
49	175	1578
50	177	1566
51	179	1550
52	181	1533
53	183	1518
54	185	1502
55	187	1487
56	190	1476
57	191	1463
58	194	1450
59	196	1438
60	198	1426
61	200	1414
62	202	1401
63	205	1396
64	206	1385
65	209	1374
66	211	1364
67	213	1353
68	215	1344
69	217	1336
70	219	1327
71	222	1320
72	224	1311
73	226	1303
74	228	1295
75	230	1287
76	232	1279
77	234	1271
78	236	1262
79	239	1255
80	241	1248
81	243	1241
82	246	1236
83	248	1232
84	250	1225
85	253	1217
86	255	1212
87	257	1205
88	259	1200
89	262	1194
90	264	1188
91	267	1184
92	269	1177
93	271	1171
94	273	1164
95	275	1158
96	277	1151
97	279	1145
98	281	1138
99	283	1133
100	285	1126
101	287	1120
102	289	1115
103	291	1110
104	293	1104
105	295	1098
106	297	1093
107	300	1089
108	302	1085
109	304	1080
110	306	1074
111	309	1070
112	311	1065
113	313	1060
114	315	1056
115	317	1052
116	319	1046
117	321	1041
118	323	1037
119	325	1031
120	328	1027
121	330	1022
122	332	1019
123	335	1016
124	337	1011
125	339	1008
126	341	1004
127	343	998
128	345	994
129	347	989
130	349	984
131	351	980
132	353	976
133	356	973
134	358	969
135	360	965
136	362	961
137	365	958
138	367	954
139	369	950
140	371	945
141	374	945
142	377	942
143	379	939
